en:About a Person.,en_About_a_Person_.wav
en:Detect People from now.,en_Detect_People_from_now_.wav
en:Hi Please say find,en_Hi__Please_say_find.wav
en:Human detected.,en_Human_detected_.wav
en:I couldn't hear it.,en_I_couldn_t_hear_it_.wav
en:I got it. Find your mate.,en_I_got_it__Find_your_mate_.wav
en:I understand your name.,en_I_understand_your_name_.wav
en:I'm going to detect person now.,en_I_m_going_to_detect_person_now_.wav
en:Please tell me your name.,en_Please_tell_me_your_name_.wav
en:Say that once more Please.,en_Say_that_once_more_Please_.wav
en:Speak your name again slowly and loudly please.,en_Speak_your_name_again_slowly_and_loudly__please.wav
